	Current Ratio	Quick Ratio	Cash Ratio	Working Capital / Total Assets	Operating Cash Flow per Share	Free Cash Flow Per Share	CFO / Sales	Free Cash Flow (FCF) /Sales	CFO / Total Assets	FCF / Current Liabilities	Debt Ratio	Debt to Equity Ratio	Debt to Capital Ratio	Times Interest Earned Ratio	Equity Multiplier	Retained Earnings / Current Liabilities	Equity/Total Asset	Equity/Fixed Asset	Interest Expense / Debt	Receivables Turnover	Days' Sales Outstanding (DSO) Ratio	Payables Turnover Ratio	Days Payable Outstanding	Fixed Asset Turnover	Sales/Total Asset	Sales Growth	Asset Turnover Ratio	Net Profit Margin	Gross Profit Margin	Operating Margin Ratio	Return on Assets	Return on Equity	Earning Per Share	EBITDA/Total Asset	Equity Growth	Price to Book Ratio	Dividend Yield Ratio	Bankruptcy Status
12	15.1	15.1	14.7	0.7	-0.9	-0.9	-19.565993359158828	-32.69792949076665	-0.2	-4.6	0.0	0.0	0.0	-338.1754049676026	1.1	-8.4	0.9	1630.9962892933127	0.2892128279883382	0.0	9834.716596343178	0.0	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-49.2	-54.5	-1.0	-51.02872928176796	349.1	2.1	0.0	0
13	0.0	0.0	0.0	-43.8	-1.5	-1.5	-4.8	-4.8	-11.6	-0.3	36.1	-0.5	77.5345696969697	-338.1754049676026	3.01039064576136	-2.5	-79.1	-230.7	0.2892128279883382	13.8	9834.716596343178	0.0	9834.716596343178	2.4	2.4	-3.0	2.4	44.2	100.0	44.2	107.2	-93.32353409392412	0.1	1.1	29.7	21.632868757259	0.0	0
14	1.9	1.7	1.4	0.2	4.9	2.5	0.2	0.1	0.1	0.4	0.4	1.2	54.1	3.2	3.3	0.6	0.3	0.6	0.0	19.3	22.3	16.4	22.3	0.7	0.7	13.3	0.7	12.2	19.5	16.1	9.0	29.6	3.1	0.2	41.3	1.6	0.0	0
15	0.3396009507000169	0.3396009507000169	0.0	-0.3603990492999831	0.6851876408997809	-2.2415961971999323	-0.00940142605002528	-3.4806223414503963	0.0	-1.2168076056001351	0.3301995246499916	0.8321947711499074	43.002874032247774	-4.852418063300321	2.132194771149907	-1.4980047535000844	0.5094014260500253	0.5792019014000337	0.030199524649991576	5.847007130250126	206.73814735850257	1.7905985739499748	206.73814735850257	0.2301995246499916	0.16039904929998314	-16.50740617955011	0.2301995246499916	-187.71038527821392	10.005410933050193	-50.446973978103095	-32.669496496051714	-63.84186702435119	-4.050151989649148	0.0	11.305344628756115	0.7584038028000675	0.0	1
16	1.1	1.1	0.6	0.0	2.4	0.4	0.6	0.1	0.1	0.3	0.1	0.2	18.8	6.2	1.7	-0.7	0.6	0.7	0.1	7.7	117.6	3.1	117.6	0.2	0.2	4.5	0.2	10.9	29.7	22.0	2.5	4.2	0.5	0.1	7.4	2.2	4.9	0
17	0.1	0.1	0.1	-0.6	0.0	0.0	-19.565993359158828	-32.69792949076665	-0.2	-0.3	0.0	0.1	9.8	-691.0	1.7	-40.9	0.3	134.5	0.0	0.0	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-63.6	-109.2	-0.2	-0.3	-71.4	3.0	0.0	0
18	0.9	0.6	0.1	0.0	5.3	1.4	0.1	0.0	0.1	0.1	0.1	0.3	20.4	0.8	2.0	8.6	0.5	0.7	0.0	9.7	41.3	8.8	41.3	0.6	0.6	-15.3	0.6	3.9	20.3	0.5	2.4	4.6	1.9	0.1	-2.0	2.2	3.3	0
19	0.0	0.0	0.0	-113.3	0.0	0.0	-29.8	-29.9	-4.3	0.0	25.4	-0.2	77.5345696969697	-0.7	3.01039064576136	-7.7	-112.4	-123.9	0.5	6.5	4740.3	0.1	4740.3	0.1	0.1	700.0	0.1	-19241.4	-103.5	-6341.7	-2556.1	-93.32353409392412	0.0	-9.0	2.2	21.632868757259	0.0	0
20	0.3	5.197842802221273	0.0	-0.1	7.0	-5.7	0.3	-0.2	0.1	-0.4	0.5	4.6	82.1	-0.8	9.4	-9.8	0.1	0.1	0.1	5.5	9834.716596343178	12.351197053406999	9834.716596343178	0.3	0.3	12.3	0.3	4.0	0.5	-14.4	1.0	9.7	1.0	0.1	16.0	2.0	0.0	0
21	1.7	1.7	0.4	0.0	0.4	-0.2	0.3	-0.2	0.0	-1.2	0.1	0.2	18.6	-2.9	1.5	12.7	0.6	0.8	0.0	6.7	64.4	5.7	64.4	0.2	0.2	-4.4	0.2	-5.7	28.2	-5.0	-0.9	-1.4	-0.1	0.0	-0.3	1.0	0.0	0
22	1.4002253388753343	0.9924463623848212	0.5693347717886159	-0.015332614105692003	0.2768884094037947	-0.03844420470189735	0.19222102350948672	-0.03844420470189735	0.0768884094037947	-0.03844420470189735	0.4384442047018974	2.8608797786720985	67.7339374271952	0.5764377316531255	2.4997746611246656	-2.177339087154464	0.2231115905962053	0.3231115905962053	0.061555795298102664	12.471137482791292	16.33754284920056	22.885794080270983	16.33754284920056	0.4846673858943079	0.7077789764905134	-20.155246306788737	0.4846673858943079	-119.09290661071844	13.740589709309043	9.52548243407869	-52.08579408027098	-128.44566461929554	-6.4244636238482125	0.13844420470189736	-76.3975212723713	1.214881936355023	0.0	1
23	1.1	1.1	1.1	0.0	-0.2	-0.2	-19.565993359158828	-32.69792949076665	-0.4	-1.9	0.0	0.0	0.0	-338.1754049676026	1.2	-1.1	0.8	1630.9962892933127	0.2892128279883382	0.0	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-23.0	-28.5	-0.2	-0.3	-24.9	0.6	0.0	0
24	2.5	2.5	2.3	0.3	-0.2	-0.2	-19.565993359158828	-32.69792949076665	-0.5	-3.9	0.2	0.2	19.2	-22.8	1.3	-77.1	0.7	1.2	0.2	0.0	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-77.1	-103.8	-0.2	-0.8	-12.2	7.6	0.0	0
